frame,frame_id,node,text,font_size,contrast,finding_ids,review,url
Style Guide — Spacing,12:176,12:221,SECTION  96   ·   GROUP  32–48   ·   COMPONENT  16–24   ·   DETAIL  8,14,17.186,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-221
Style Guide — Brand,12:82,12:84,MIND LEVER X · WEB FOUNDATIONS,12,18.079,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-84
Style Guide — Brand,12:82,12:85,VERSION 1 · SEP 2026,12,10.87,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-85
Style Guide — Brand,12:82,12:87,Brand foundation,38,18.468,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-87
Style Guide — Brand,12:82,12:88,"The core identity: confident, clear, evidence-led, and recognizably Mind Lever X.",18,6.274,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-88
Style Guide — Brand,12:82,12:91,Primary logo,18,18.468,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-91
Style Guide — Brand,12:82,12:92,Use the full mark and wordmark on spacious brand moments. Preserve clear space around it.,13,6.274,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-92
Style Guide — Brand,12:82,12:98,MIND LEVER X,20,4.138,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-98
Style Guide — Brand,12:82,12:99,Clear space: at least the height of the X mark,13,10.87,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-99
Style Guide — Brand,12:82,12:102,Brand voice,18,18.468,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-102
Style Guide — Brand,12:82,12:103,"Short, direct statements. Lead with the buyer problem, support with evidence, and end with a concrete next step.",13,6.274,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-103
Style Guide — Brand,12:82,12:105,CLEAR · CREDIBLE · USEFUL · FORWARD-LOOKING,14,4.153,D02,Finding linked,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-105
Style Guide — Brand,12:82,12:106,“Be found in the new era of search.”,34,17.186,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-106
Style Guide — Brand,12:82,12:107,Prefer plain language over hype. Make every claim specific enough to trust.,16,5.701,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=12-107
MindLeverX — Homepage Concept,13:167,13:173,MIND LEVER X,20,18.079,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-173
MindLeverX — Homepage Concept,13:167,13:175,Home,14,18.079,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-175
MindLeverX — Homepage Concept,13:167,13:176,Method,14,10.87,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-176
MindLeverX — Homepage Concept,13:167,13:177,What is GEO,14,10.87,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-177
MindLeverX — Homepage Concept,13:167,13:178,Example Report,14,10.87,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-178
MindLeverX — Homepage Concept,13:167,13:179,About,14,10.87,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-179
MindLeverX — Homepage Concept,13:167,13:182,Availability,14,9.69,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-182
MindLeverX — Homepage Concept,13:167,13:184,"Design intent: strong contrast, visible keyboard focus, and semantic reading order; validate against WCAG 2.2 AA before release.",14,8.685,D01,Finding linked,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-184
MindLeverX — Homepage Concept,13:167,13:185,Mobile: single-column reading order.,14,9.742,D01,Finding linked,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-185
MindLeverX — Homepage Concept,13:167,13:189,EVIDENCE-LED AI ANSWERS REVEALED,12,6.714,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-189
MindLeverX — Homepage Concept,13:167,13:190,Understand how your business appears in AI answers—and what to improve next.,82,18.079,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-190
MindLeverX — Homepage Concept,13:167,13:191,"MindLeverX helps your business understand how it appears in AI answers, starting with ChatGPT, and reveals evidence-led next actions. Explicitly separate observed real-world answers from generic search-readiness metrics.",18,10.87,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-191
MindLeverX — Homepage Concept,13:167,I13:193;3:8,Explore the method →,14,7.204,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=I13-193;3-8
MindLeverX — Homepage Concept,13:167,13:196,View illustrative report,14,9.69,D08,Finding linked,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-196
MindLeverX — Homepage Concept,13:167,13:198,PROPOSED OBSERVATION MATRIX,12,8.685,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-198
MindLeverX — Homepage Concept,13:167,13:199,Evidence over scores.,23,16.204,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-199
MindLeverX — Homepage Concept,13:167,13:202,01 / Raw Search Readiness,14,16.204,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-202
MindLeverX — Homepage Concept,13:167,13:203,"Review crawlability, factual structure, and how clearly the site explains the business.",14,9.742,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-203
MindLeverX — Homepage Concept,13:167,13:205,02 / Observed LLM Answers,14,16.204,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-205
MindLeverX — Homepage Concept,13:167,13:206,Proposed ChatGPT answer collection for defined buyer questions.,14,9.742,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-206
MindLeverX — Homepage Concept,13:167,13:209,PROPOSED AUDIT PIPELINE,12,8.018,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-209
MindLeverX — Homepage Concept,13:167,13:210,How the proposed service works,48,14.96,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-210
MindLeverX — Homepage Concept,13:167,13:211,"A proposed evidence-led process. Qualified collection, payment, private delivery, and recurring operations are not yet production-ready.",18,8.995,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-211
MindLeverX — Homepage Concept,13:167,I13:213;3:10,STAGE 01 / READY,12,8.685,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=I13-213;3-10
MindLeverX — Homepage Concept,13:167,I13:213;3:11,Search-Readiness Review,23,16.204,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=I13-213;3-11
MindLeverX — Homepage Concept,13:167,I13:213;3:12,"Analyze structured data, website architecture, and indexable reference materials before testing.",18,9.742,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=I13-213;3-12
MindLeverX — Homepage Concept,13:167,I13:217;3:10,STAGE 02 / OBSERVE,12,8.685,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=I13-217;3-10
MindLeverX — Homepage Concept,13:167,I13:217;3:11,Observed LLM Answers,23,16.204,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=I13-217;3-11
MindLeverX — Homepage Concept,13:167,I13:217;3:12,"Proposed collection of qualified ChatGPT answers for defined buyer questions, with prompts, dates, sources, and context preserved.",18,9.742,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=I13-217;3-12
MindLeverX — Homepage Concept,13:167,I13:221;3:10,STAGE 03 / RESOLVE,12,8.685,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=I13-221;3-10
MindLeverX — Homepage Concept,13:167,I13:221;3:11,Actionable Synthesis,23,16.204,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=I13-221;3-11
MindLeverX — Homepage Concept,13:167,I13:221;3:12,Convert isolated citations into structured next actions with full prompt logs for later audit.,18,9.742,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=I13-221;3-12
MindLeverX — Homepage Concept,13:167,13:228,FUTURE-FACING BLUEPRINTS,12,9.69,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-228
MindLeverX — Homepage Concept,13:167,13:229,What a client could receive,48,18.079,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-229
MindLeverX — Homepage Concept,13:167,13:230,"These are proposed deliverables for review; exact scope, timing, collection, payment, and delivery remain unresolved.",18,10.87,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-230
MindLeverX — Homepage Concept,13:167,13:232,• Readiness Findings,23,18.079,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-232
MindLeverX — Homepage Concept,13:167,13:233,"A proposed review of crawlability, factual structure, and how clearly the site explains the business.",14,10.87,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-233
MindLeverX — Homepage Concept,13:167,13:234,• Observed-Answer Evidence,23,18.079,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-234
MindLeverX — Homepage Concept,13:167,13:235,"Proposed snapshots of ChatGPT answers for agreed buyer questions, with prompts, dates, sources, and context.",14,10.87,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-235
MindLeverX — Homepage Concept,13:167,13:236,• Prioritized Recommendations,23,18.079,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-236
MindLeverX — Homepage Concept,13:167,13:237,"A proposed priority list addressing clarity, evidence gaps, content structure, and search-readiness findings.",14,10.87,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-237
MindLeverX — Homepage Concept,13:167,13:239,DELIVERABLE SPECIMEN,12,8.685,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-239
MindLeverX — Homepage Concept,13:167,13:240,Proposed Report Anatomy,23,16.204,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-240
MindLeverX — Homepage Concept,13:167,13:242,"- Prompt wording, date, and relevant context
- Source and reference links captured with context
- Proposed next actions, clearly separated from findings",14,9.742,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-242
MindLeverX — Homepage Concept,13:167,13:244,PROVABLE TRUTH VS. METRIC HYPE,12,8.018,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-244
MindLeverX — Homepage Concept,13:167,13:246,"Prompts, screenshots, and context are more useful than unprovable scores.",48,14.96,D11,Finding linked,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-246
MindLeverX — Homepage Concept,13:167,13:248,Observed LLM answers and general website search readiness answer entirely different questions. A high site speed score does not guarantee ChatGPT knows your product lines.,18,14.96,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-248
MindLeverX — Homepage Concept,13:167,13:249,"The proposed evidence record preserves prompt wording, answer captures, dates, sources, and context so each observation can be reviewed.",14,8.995,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-249
MindLeverX — Homepage Concept,13:167,13:253,ILLUSTRATIVE REPORT STRUCTURE,12,9.69,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-253
MindLeverX — Homepage Concept,13:167,13:254,The Interactive Brief,48,18.079,D15,Finding linked,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-254
MindLeverX — Homepage Concept,13:167,13:256,ILLUSTRATIVE EXAMPLE ONLY,12,4.571,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-256
MindLeverX — Homepage Concept,13:167,13:260,Illustrative profile: example business,23,16.204,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-260
MindLeverX — Homepage Concept,13:167,13:261,Illustrative scope: defined buyer questions — not yet collected,14,9.742,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-261
MindLeverX — Homepage Concept,13:167,13:263,NOT YET COLLECTED,14,5.851,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-263
MindLeverX — Homepage Concept,13:167,13:267,CITATION PRESENCE,12,10.87,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-267
MindLeverX — Homepage Concept,13:167,13:268,Illustrative,48,9.69,,No additional line-specific finding; section and shared-system findings still apply,https://www.figma.com/design/OTfzO4cl4mosafK3Y74ayI/?node-id=13-268
