frame,node,parent,type,name,geometry,layout,bindings,reactions,review_scope
12:82,12:93,12:89,FRAME,Frame,"[436, 32, 780, 127]","[""VERTICAL"", ""FIXED"", ""HUG"", ""NO_WRAP"", 28, 28, 28, 28, 20, true, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]",null,null,Structural inventory; findings and text review identify assessed defects
12:82,12:94,12:93,FRAME,Primary logo — cloned from hero,"[28, 28, 179, 32]","[""HORIZONTAL"", ""HUG"", ""HUG"", ""NO_WRAP"", 0, 0, 0, 0, 12, false, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]",null,null,Structural inventory; findings and text review identify assessed defects
12:82,12:95,12:94,FRAME,Logo Mark,"[0, 0, 32, 32]","[""HORIZONTAL"", ""FIXED"", ""FIXED"", ""NO_WRAP"", 0, 0, 0, 0, 0, false, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]",null,null,Structural inventory; findings and text review identify assessed defects
12:82,12:96,12:95,FRAME,cross,"[7, 7, 18, 18]","[""NONE"", ""FIXED"", ""FIXED"", ""NO_WRAP"", 0, 0, 0, 0, 0, true, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]",null,null,Structural inventory; findings and text review identify assessed defects
12:82,12:97,12:96,VECTOR,Vector,"[1.499400019645691, 1.499400019645691, 15.001199722290039, 15.001199722290039]",null,null,null,Structural inventory; findings and text review identify assessed defects
12:82,12:98,12:94,TEXT,Wordmark,"[44, 2.5, 135, 27]",null,null,null,Structural inventory; findings and text review identify assessed defects
12:82,12:99,12:93,TEXT,Clear space: at least the height of the X mark,"[28, 80, 271, 19]",null,null,null,Structural inventory; findings and text review identify assessed defects
12:82,12:100,12:82,FRAME,Frame,"[0, 454, 1280, 252]","[""HORIZONTAL"", ""FIXED"", ""HUG"", ""NO_WRAP"", 32, 64, 32, 64, 72, true, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]",null,null,Structural inventory; findings and text review identify assessed defects
12:82,12:101,12:100,FRAME,Frame,"[64, 32, 300, 91]","[""VERTICAL"", ""FIXED"", ""HUG"", ""NO_WRAP"", 0, 0, 0, 0, 8, true, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]",null,null,Structural inventory; findings and text review identify assessed defects
12:82,12:102,12:101,TEXT,Brand voice,"[0, 0, 300, 26]",null,null,null,Structural inventory; findings and text review identify assessed defects
12:82,12:103,12:101,TEXT,"Short, direct statements. Lead with the buyer problem, support with evidence, and end with a concrete next step.","[0, 34, 300, 57]",null,null,null,Structural inventory; findings and text review identify assessed defects
12:82,12:104,12:100,FRAME,Frame,"[436, 32, 780, 188]","[""VERTICAL"", ""FIXED"", ""HUG"", ""NO_WRAP"", 28, 28, 28, 28, 20, true, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]",null,null,Structural inventory; findings and text review identify assessed defects
12:82,12:105,12:104,TEXT,CLEAR · CREDIBLE · USEFUL · FORWARD-LOOKING,"[28, 28, 334, 20]",null,null,null,Structural inventory; findings and text review identify assessed defects
12:82,12:106,12:104,TEXT,“Be found in the new era of search.”,"[28, 68, 700, 49]",null,null,null,Structural inventory; findings and text review identify assessed defects
12:82,12:107,12:104,TEXT,Prefer plain language over hype. Make every claim specific enough to trust.,"[28, 137, 700, 23]",null,null,null,Structural inventory; findings and text review identify assessed defects
13:893,13:893,0:1,FRAME,MindLeverX — About,"[14730, 876, 1440, 2451]","[""VERTICAL"", ""FIXED"", ""HUG"", ""NO_WRAP"", 0, 0, 0, 0, 0, true, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]","{""fills"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:3""}]}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:894,13:893,INSTANCE,Header / Desktop,"[0, 0, 1440, 80]","[""HORIZONTAL"", ""FIXED"", ""HUG"", ""NO_WRAP"", 24, 96, 24, 96, 0, false, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]",null,null,Structural inventory; findings and text review identify assessed defects
13:893,I13:894;13:169,13:894,FRAME,Brand Identity,"[96, 24, 179, 32]","[""HORIZONTAL"", ""HUG"", ""HUG"", ""NO_WRAP"", 0, 0, 0, 0, 12, false, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]",null,"[{""action"": {""type"": ""NODE"", ""destinationId"": ""13:167"", ""navigation"": ""NAVIGATE"", ""transition"": null, ""resetVideoPosition"": false}, ""actions"": [{""type"": ""NODE"", ""destinationId"": ""13:167"", ""navigation"": ""NAVIGATE"", ""transition"": null, ""resetVideoPosition"": false}], ""trigger"": {""type"": ""ON_CLICK""}}]",Structural inventory; findings and text review identify assessed defects
13:893,I13:894;13:170,I13:894;13:169,FRAME,Logo Mark,"[0, 0, 32, 32]","[""HORIZONTAL"", ""FIXED"", ""FIXED"", ""NO_WRAP"", 0, 0, 0, 0, 0, false, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]",null,null,Structural inventory; findings and text review identify assessed defects
13:893,I13:894;13:171,I13:894;13:170,FRAME,cross,"[7, 7, 18, 18]","[""NONE"", ""FIXED"", ""FIXED"", ""NO_WRAP"", 0, 0, 0, 0, 0, true, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]",null,null,Structural inventory; findings and text review identify assessed defects
13:893,I13:894;13:172,I13:894;13:171,VECTOR,Vector,"[1.499400019645691, 1.499400019645691, 15.001199722290039, 15.001199722290039]",null,null,null,Structural inventory; findings and text review identify assessed defects
13:893,I13:894;13:173,I13:894;13:169,TEXT,Wordmark,"[44, 2.5, 135, 27]",null,null,null,Structural inventory; findings and text review identify assessed defects
13:893,I13:894;13:174,13:894,FRAME,Navigation Links,"[780, 29, 564, 22]","[""HORIZONTAL"", ""HUG"", ""HUG"", ""NO_WRAP"", 0, 0, 0, 0, 32, false, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]",null,null,Structural inventory; findings and text review identify assessed defects
13:893,I13:894;13:175,I13:894;13:174,TEXT,Nav Link 1,"[0, 0, 39, 22]",null,null,"[{""action"": {""type"": ""NODE"", ""destinationId"": ""13:167"", ""navigation"": ""NAVIGATE"", ""transition"": null, ""resetVideoPosition"": false}, ""actions"": [{""type"": ""NODE"", ""destinationId"": ""13:167"", ""navigation"": ""NAVIGATE"", ""transition"": null, ""resetVideoPosition"": false}], ""trigger"": {""type"": ""ON_CLICK""}}]",Structural inventory; findings and text review identify assessed defects
13:893,I13:894;13:176,I13:894;13:174,TEXT,Nav Link 2,"[71, 0, 51, 22]",null,null,"[{""action"": {""type"": ""NODE"", ""destinationId"": ""13:480"", ""navigation"": ""NAVIGATE"", ""transition"": null, ""resetVideoPosition"": false}, ""actions"": [{""type"": ""NODE"", ""destinationId"": ""13:480"", ""navigation"": ""NAVIGATE"", ""transition"": null, ""resetVideoPosition"": false}], ""trigger"": {""type"": ""ON_CLICK""}}]",Structural inventory; findings and text review identify assessed defects
13:893,I13:894;13:177,I13:894;13:174,TEXT,Nav Link 3,"[154, 0, 82, 22]",null,null,"[{""action"": {""type"": ""NODE"", ""destinationId"": ""13:602"", ""navigation"": ""NAVIGATE"", ""transition"": null, ""resetVideoPosition"": false}, ""actions"": [{""type"": ""NODE"", ""destinationId"": ""13:602"", ""navigation"": ""NAVIGATE"", ""transition"": null, ""resetVideoPosition"": false}], ""trigger"": {""type"": ""ON_CLICK""}}]",Structural inventory; findings and text review identify assessed defects
13:893,I13:894;13:178,I13:894;13:174,TEXT,Nav Link 4,"[268, 0, 103, 22]",null,null,"[{""action"": {""type"": ""NODE"", ""destinationId"": ""13:682"", ""navigation"": ""NAVIGATE"", ""transition"": null, ""resetVideoPosition"": false}, ""actions"": [{""type"": ""NODE"", ""destinationId"": ""13:682"", ""navigation"": ""NAVIGATE"", ""transition"": null, ""resetVideoPosition"": false}], ""trigger"": {""type"": ""ON_CLICK""}}]",Structural inventory; findings and text review identify assessed defects
13:893,I13:894;13:179,I13:894;13:174,TEXT,Nav Link 5,"[403, 0, 43, 22]",null,"{""fills"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:10""}]}","[{""action"": {""type"": ""NODE"", ""destinationId"": ""13:893"", ""navigation"": ""NAVIGATE"", ""transition"": null, ""resetVideoPosition"": false}, ""actions"": [{""type"": ""NODE"", ""destinationId"": ""13:893"", ""navigation"": ""NAVIGATE"", ""transition"": null, ""resetVideoPosition"": false}], ""trigger"": {""type"": ""ON_CLICK""}}]",Structural inventory; findings and text review identify assessed defects
13:893,I13:894;13:180,I13:894;13:174,FRAME,Nav Link 6 Wrap,"[478, 0, 86, 22]","[""HORIZONTAL"", ""HUG"", ""HUG"", ""NO_WRAP"", 0, 0, 0, 0, 8, false, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]",null,"[{""action"": {""type"": ""NODE"", ""destinationId"": ""13:966"", ""navigation"": ""NAVIGATE"", ""transition"": null, ""resetVideoPosition"": false}, ""actions"": [{""type"": ""NODE"", ""destinationId"": ""13:966"", ""navigation"": ""NAVIGATE"", ""transition"": null, ""resetVideoPosition"": false}], ""trigger"": {""type"": ""ON_CLICK""}}]",Structural inventory; findings and text review identify assessed defects
13:893,I13:894;13:181,I13:894;13:180,ELLIPSE,Ellipse,"[0, 7, 8, 8]",null,null,null,Structural inventory; findings and text review identify assessed defects
13:893,I13:894;13:182,I13:894;13:180,TEXT,Nav Link 6,"[16, 0, 70, 22]",null,null,null,Structural inventory; findings and text review identify assessed defects
13:893,13:909,13:893,FRAME,Hero,"[0, 80, 1440, 418]","[""VERTICAL"", ""FILL"", ""HUG"", ""NO_WRAP"", 96, 96, 96, 96, 32, false, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]","{""itemSpacing"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:14""}, ""paddingLeft"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:17""}, ""paddingTop"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:17""}, ""paddingRight"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:17""}, ""paddingBottom"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:17""}}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:910,13:909,TEXT,Eyebrow,"[96, 96, 105, 18]",null,"{""fills"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:10""}]}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:911,13:909,TEXT,Title,"[96, 146, 1248, 57]",null,"{""fills"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:7""}]}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:912,13:909,TEXT,Description,"[96, 235, 800, 87]",null,"{""fills"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:8""}]}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:913,13:893,FRAME,Principles Section,"[0, 498, 1440, 657]","[""VERTICAL"", ""FILL"", ""HUG"", ""NO_WRAP"", 96, 96, 96, 96, 48, false, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]","{""itemSpacing"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:15""}, ""paddingLeft"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:17""}, ""paddingTop"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:17""}, ""paddingRight"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:17""}, ""paddingBottom"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:17""}, ""fills"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:4""}], ""strokes"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:6""}]}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:914,13:913,TEXT,Our foundational perspective,"[96, 96, 681, 57]",null,"{""fills"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:7""}]}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:915,13:913,FRAME,Principles Grid,"[96, 201, 1248, 360]","[""GRID"", ""FILL"", ""FIXED"", ""NO_WRAP"", 0, 0, 0, 0, 0, false, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]",null,null,Structural inventory; findings and text review identify assessed defects
13:893,13:916,13:915,FRAME,Frame,"[0, 0, 426, 157]","[""VERTICAL"", ""HUG"", ""HUG"", ""NO_WRAP"", 24, 24, 24, 24, 12, false, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]","{""paddingLeft"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:13""}, ""paddingTop"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:13""}, ""paddingRight"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:13""}, ""paddingBottom"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:13""}, ""fills"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:5""}]}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:917,13:916,TEXT,"Clear Findings, No Mystery Scores","[24, 24, 378, 31]",null,"{""fills"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:7""}]}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:918,13:916,TEXT,We focus on mapping raw observed outputs instead of generating abstract proprietary readiness grades or scores.,"[24, 67, 378, 66]",null,"{""fills"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:8""}]}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:919,13:915,FRAME,Frame,"[424, 0, 385, 157]","[""VERTICAL"", ""HUG"", ""HUG"", ""NO_WRAP"", 24, 24, 24, 24, 12, false, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]","{""paddingLeft"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:13""}, ""paddingTop"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:13""}, ""paddingRight"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:13""}, ""paddingBottom"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:13""}, ""fills"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:5""}]}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:920,13:919,TEXT,Evidence & Context Combined,"[24, 24, 337, 31]",null,"{""fills"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:7""}]}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:921,13:919,TEXT,"Every documented answer is presented alongside exact prompts, model parameters, regional contexts, and timestamps.","[24, 67, 337, 66]",null,"{""fills"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:8""}]}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:922,13:915,FRAME,Frame,"[848, 0, 354, 157]","[""VERTICAL"", ""HUG"", ""HUG"", ""NO_WRAP"", 24, 24, 24, 24, 12, false, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]","{""paddingLeft"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:13""}, ""paddingTop"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:13""}, ""paddingRight"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:13""}, ""paddingBottom"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:13""}, ""fills"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:5""}]}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:923,13:922,TEXT,Stating the Limits Explicitly,"[24, 24, 306, 31]",null,"{""fills"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:7""}]}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:924,13:922,TEXT,"We explicitly highlight non-deterministic behavior, lack of API access, and temporal margins in all diagnostics.","[24, 67, 306, 66]",null,"{""fills"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:8""}]}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:925,13:915,FRAME,Frame,"[0, 181, 266, 179]","[""VERTICAL"", ""HUG"", ""HUG"", ""NO_WRAP"", 24, 24, 24, 24, 12, false, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]","{""paddingLeft"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:13""}, ""paddingTop"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:13""}, ""paddingRight"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:13""}, ""paddingBottom"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:13""}, ""fills"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:5""}]}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:926,13:925,TEXT,Human Review First,"[24, 24, 218, 31]",null,"{""fills"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:7""}]}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:927,13:925,TEXT,AI answer traces must be interpreted by experienced data reviewers before recommending technical changes.,"[24, 67, 218, 88]",null,"{""fills"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:8""}]}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:928,13:915,FRAME,Frame,"[424, 181, 301, 179]","[""VERTICAL"", ""HUG"", ""HUG"", ""NO_WRAP"", 24, 24, 24, 24, 12, false, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]","{""paddingLeft"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:13""}, ""paddingTop"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:13""}, ""paddingRight"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:13""}, ""paddingBottom"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:13""}, ""fills"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:5""}]}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:929,13:928,TEXT,No Implied Guarantees,"[24, 24, 253, 31]",null,"{""fills"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:7""}]}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:930,13:928,TEXT,"We never promise visibility lift, automated citation placements, rankings, indexation speed, or commercial revenue growth.","[24, 67, 253, 88]",null,"{""fills"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:8""}]}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:931,13:893,FRAME,Scope Boundaries,"[0, 1155, 1440, 504]","[""VERTICAL"", ""FILL"", ""HUG"", ""NO_WRAP"", 96, 96, 96, 96, 48, false, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]","{""itemSpacing"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:15""}, ""paddingLeft"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:17""}, ""paddingTop"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:17""}, ""paddingRight"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:17""}, ""paddingBottom"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:17""}}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:932,13:931,FRAME,Boundary Header,"[96, 96, 1248, 165]","[""VERTICAL"", ""FILL"", ""HUG"", ""NO_WRAP"", 0, 0, 0, 0, 16, false, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]",null,null,Structural inventory; findings and text review identify assessed defects
13:893,13:933,13:932,TEXT,DEVELOPMENT TRANSPARENCY,"[0, 0, 185, 18]",null,null,null,Structural inventory; findings and text review identify assessed defects
13:893,13:934,13:932,TEXT,What we are not claiming,"[0, 34, 584, 57]",null,"{""fills"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:7""}]}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:935,13:932,TEXT,"This platform is an early design proposal. For complete clarity, we publish no fabricated team details, imaginary clients, proprietary advantages, or automated platform capabilities.","[0, 107, 800, 58]",null,"{""fills"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:8""}]}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:936,13:931,FRAME,Boundary Splits,"[96, 309, 1248, 99]","[""HORIZONTAL"", ""FILL"", ""HUG"", ""NO_WRAP"", 0, 0, 0, 0, 48, false, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]","{""itemSpacing"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:15""}}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:937,13:936,FRAME,Boundary Left,"[0, 0, 600, 99]","[""VERTICAL"", ""FILL"", ""HUG"", ""NO_WRAP"", 0, 0, 0, 0, 24, false, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]","{""itemSpacing"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:13""}}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:938,13:937,TEXT,No Fictional Team Size or Bios,"[0, 0, 328, 31]",null,"{""fills"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:7""}]}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:939,13:937,TEXT,"This concept does not state a team size, founder biography, credentials, staff roster, or ownership structure. Those details remain unspecified.","[0, 55, 600, 44]",null,"{""fills"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:8""}]}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:940,13:936,FRAME,Boundary Right,"[648, 0, 600, 99]","[""VERTICAL"", ""FILL"", ""HUG"", ""NO_WRAP"", 0, 0, 0, 0, 24, false, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]","{""itemSpacing"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:13""}}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:941,13:940,TEXT,No Pretend Partners or Testimonials,"[0, 0, 400, 31]",null,"{""fills"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:7""}]}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:942,13:940,TEXT,"You will not find simulated client logos, unverified success metrics, or automated recommendation endorsements.","[0, 55, 600, 44]",null,"{""fills"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:8""}]}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:943,13:893,FRAME,Current Status,"[0, 1659, 1440, 520]","[""VERTICAL"", ""FILL"", ""HUG"", ""NO_WRAP"", 96, 96, 96, 96, 32, false, ""AUTO"", {""horizontal"": ""MIN"", ""vertical"": ""MIN""}, null, null]","{""itemSpacing"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:14""}, ""paddingLeft"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:17""}, ""paddingTop"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:17""}, ""paddingRight"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:17""}, ""paddingBottom"": {""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:17""}, ""fills"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:5""}], ""strokes"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:6""}]}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:944,13:943,TEXT,PROPOSAL STATUS,"[96, 96, 111, 18]",null,"{""fills"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:10""}]}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:945,13:943,TEXT,Early Conceptual Stage,"[96, 146, 545, 57]",null,"{""fills"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:7""}]}",null,Structural inventory; findings and text review identify assessed defects
13:893,13:946,13:943,TEXT,"The site interface, research templates, and general method remain concepts. The final operational models, offer scopes, exact user targets, and timing boundaries are subject to owner decisions. No working submission pipelines, paid models, or public waitlists are currently open.","[96, 235, 900, 87]",null,"{""fills"": [{""type"": ""VARIABLE_ALIAS"", ""id"": ""VariableID:2:8""}]}",null,Structural inventory; findings and text review identify assessed defects
