id,priority,scope,title,evidence,impact,fix,verify,basis,refs,nodes,patterns
D02,P1,Figma concept and guide,Contrast failures are built into prominent labels,"17 text layers were flagged by solid-color contrast calculation: seven current concept layers, five guide layers and five older desktop layers. Report warning nodes 13:700 and 14:509 are #F7FAFF on #FF6B4A: 2.69:1. Five current coral status labels calculate about 4.26:1. Guide rust-on-light labels are about 4.15:1; white-on-rust guide labels 4.37:1.",The sample warning and service-status labels carry essential meaning but fail the normal-text contrast target. The guide would reproduce some failures if used unchanged.,"Create tested semantic foreground/background pairs for warnings, badges and actions. Adjust the pair rather than relying on the color name or increasing weight alone.","Check every listed pair at its actual size/weight and state, then repeat in the implemented browser. The appendix records all 17 node IDs. Logos themselves are not included as ordinary-text failures.",Measured design-color defect against the WCAG target; not a browser conformance certification,contrast,,
D03,P1,Figma concept,Report status labels overflow their cards,"Report 13:682: text 13:731 is 246px wide at x=16 inside a 229.33px card; its right edge exceeds the card by 32.67px. Text 13:734 is 230px at x=16 in another 229.33px card, exceeding it by 16.67px. Both use auto width. Screenshot confirms labels run beyond their cards.",Critical provenance labels become visually entangled with neighboring states. Checking only the page’s outer bounds misses this defect.,"Use fill-width, auto-height text with wrapping; simplify labels and give the three status cards consistent padding and deliberate row sizing.","Check long labels at desktop and compact widths, including a longer translated label. Every label stays within its content box without hiding essential text.",Observed geometry defect; Figma layout behavior and our sizing practice,layout,"13:731, 13:734, 13:728",
D04,P2,Figma concept,Card grids lack consistent sizing and spacing,"Desktop About 13:893 shows the first two principle cards touching and lower cards much narrower than the first row. Research 13:791 has narrow, uneven source-category cards with large unused gaps. Mobile versions use more consistent single-column cards.",Items of equal conceptual importance look unrelated or differently weighted. The gap is visible in the screenshots; its conversion effect has not been tested.,"Use consistent fill-width grid tracks, explicit gaps and reusable card padding. Decide whether equal heights serve the content; do not force equal height everywhere.","Resize a duplicate test frame through narrow, intermediate and desktop widths with long content; verify alignment, spacing and readable measure.",Visual observation and design recommendation,"layout,component","13:893, 13:791",
D05,P2,Figma / implementation handoff,There is no single reconciled visual baseline,"The guide uses a light canvas and rust accent; current concepts use navy, blue and coral. Concept typography is Manrope/DM Sans; the deployed site loads Spectral/IBM Plex Sans/IBM Plex Mono. The repository’s existing Figma pointer names a different file, UgtCQvjyZpBQVOxhZAK4sk, while this audit inspects OTfzO4cl4mosafK3Y74ayI.","A developer cannot safely infer which palette, font system, file and content version should ship. These may be valid alternatives, but their status is not reconciled.","Name the approved implementation baseline, retain earlier directions as archived proposals, and version the palette, typography, components and content together. Link the correct file and frame IDs in project records.","One handoff record identifies the approved file, frames, token version and corresponding code commit. Match browser and Figma at the same viewport.",Observed version differences; project governance choice,library,,
D06,P2,Figma design system,Reusable tokens exist but are inconsistently connected,"The file contains 15 variables, eight text styles, seven components and 104 instances. All 140 style-guide nodes have no variable bindings and all 75 guide text nodes have no text-style assignment. Desktop Method and GEO each have only two nodes with variable bindings; mobile counterparts have 91 and 65. Current coral #FF6B4A is absent from the 15-token collection.",Changing a named token or text style will not reliably update the guide and all screens. Counts identify inconsistent coverage; they do not imply that every decorative node must be bound.,"Add semantic status/action roles and bind applicable repeated colors, spacing and typography. Generate guide specimens from the same components and styles used on screens.",Change a token in an isolated duplicate and confirm all intended consumers update. Check remaining literal values deliberately and document exceptions.,Observed binding inventory; implementation recommendation,"variables,component",,
D07,P2,Figma design system,Typography and interaction states need consolidation,"The desktop report contains 18 Inter text nodes and the mobile report eight, amid the Manrope/DM Sans system. There are no component sets in the export. A focus example exists in the menu specification, but a consistent button/link state family is not established.",Text and interactive states may drift during implementation. Lack of component sets alone is not a Figma rule violation; the gap is the incomplete handoff of recurring states.,"Assign role-based text styles and define relevant default, hover, focus-visible, pressed and disabled states. Include long labels and actual hit areas.",Inspect all report text roles and exercise repeated controls with mouse and keyboard in code. State coverage can use variants or another explicit documented pattern.,Observed inventory; handoff recommendation,"component,library",,
D08,P1,Figma prototype,Visible links are missing prototype destinations,Homepage secondary link 13:196 (“View illustrative report”) and report secondary link 13:766 (“Learn what GEO means”) have no hyperlink or reaction on themselves or their ancestors. Research source URL text 14:969 and 14:976 likewise has no link/reaction. Other navigation is wired; 178 reaction-bearing records were inspected.,Important reading journeys stop in the prototype and source verification links cannot be followed there.,Connect each CTA to its corresponding frame and source entries to their URLs. Put hotspots on the actual control; review action rows with overlapping parent/child hotspots.,"Execute home→report→GEO and research→source, then Back and restart in presentation view. This audit inspected wiring; it did not certify all 178 interactions through execution.",Observed missing wiring; prototype acceptance recommendation,prototype,"13:196, 13:766, 14:969, 14:976",
D09,P2,Figma navigation,Research navigation is inconsistent between views,"Research is absent from the desktop header/footer but is present in the mobile open-menu frame. Desktop Research highlights “What is GEO.” The site-plan intentionally nests Research under Learn, but there is no clear subnavigation/current-page indication on the Research screen.",The hierarchy and current location are harder to understand; mobile and desktop offer different direct paths.,"Choose a consistent hierarchy: a clearly labeled Learn section with Research subnavigation, or a direct Research link. Align active states and footer paths.","From every relevant route, locate Research and identify the current page on both layouts without guessing.",Observed navigation mismatch; information-architecture recommendation,library,"13:791, 14:873",
D10,P2,Figma handoff,Menu specifications do not establish implemented accessibility,"Frame 14:873 includes tab numbers and instructions to trap focus and make the background inert. The close action is BACK, correctly preserving navigation history. The file’s mobile menu is explicitly a Home example; annotations are shown inside the screen.",A screenshot cannot prove keyboard behavior. Applying modal focus trapping to a normal disclosure navigation would also be the wrong interaction model.,"Choose modal drawer versus nonmodal disclosure explicitly. Keep annotations outside the visitor screen and specify the correct focus, Escape, background and scroll behavior for that model.","Test the chosen implementation with keyboard and a screen reader. Live-site disclosure-menu tests passed opening, next-link focus and Escape return; this does not verify the proposed Figma drawer.",Observed specification gap; implementation choice,"prototype,library","14:873, 14:895, 14:943, 14:944, 14:945",
D11,P2,Figma copy,Copy dismisses useful metrics too broadly,"Method 13:550 describes automated SEO scores as “fallacies”; homepage 13:246 contrasts evidence with unprovable scores. Proposed observed-answer evidence is useful, but Lighthouse and other well-defined measurements can support specific technical conclusions.",The argument conflicts with the intended use of Google quality auditing and obscures the difference between a valid limited metric and an unsupported composite.,"Say what each measurement establishes and what it cannot establish. Keep technical quality, search performance, observed answers and business outcomes separate; disclose scoring definitions and limitations.",Read the method alongside the Lighthouse playbook: neither claims all scores prove outcomes nor rejects valid technical diagnostics.,Observed methodological overstatement; our measurement practice,lighthouse,"13:550, 13:246","fallacies, unprovable scores"
D12,P2,Figma copy and hierarchy,Development status crowds out visitor value,"Availability, About, footer and report repeat owner decisions, unconfigured mailboxes, undefined offers and unbuilt pipelines. The mobile homepage is 7,228px tall and the desktop hero alone is 975px. Long pages are not inherently wrong; much of this length repeats internal status rather than helping the visitor decide.","The target audience, concrete problem, useful output and available next step are harder to find. The effect on comprehension is a testable UX hypothesis.",Lead with the buyer problem and one useful artifact. Retain a concise accurate availability notice and point to a detailed status page when needed. Move internal decisions into project notes.,"Run a short comprehension test: who is this for, what does it do, what evidence will I receive, what can I do now? Compare completion and answers before/after.",Observed content structure; design recommendation and hypothesis,helpful,"13:167, 13:322, 13:893, 13:966","owner decisions, configured, Awaiting, non-empirical, No automated state implied"
D13,P2,Figma content parity,Desktop and mobile are separate editorial versions,Desktop GEO says “Source Authority”; mobile says “Clear Source Content.” Desktop About has five principles in a grid; mobile adds a separate perspective section and revised statements. The desktop typo “04 / GUARANTEALS” is corrected on mobile. These are not just responsive rearrangements.,"A developer has to choose which copy and concept are authoritative, and corrections may reach only one version.","Use one approved content source for responsive variants, with explicitly justified short labels where necessary. Correct “GUARANTEALS” to “GUARANTEES.”","Compare headings, claims, links and status labels side by side. Any intentional differences have a documented reason.",Observed content divergence; implementation recommendation,library,"13:638, 14:457, 14:725",GUARANTEALS
D14,P2,Figma report model,Status vocabulary and evidence promises are underspecified,"The illustrative report mixes Observed, Not Collected, Unmeasured, [UNCOLLECTED] and [NOT TRACKED]. About promises exact model parameters for every documented answer even though consumer interfaces may not expose them. All report data is explicitly fictional.",The state labels can be mistaken for interchangeable meanings and the evidence contract may promise unavailable metadata.,"Define collection status separately from finding/result status. Distinguish not attempted, failed, collected, observed absence and not measurable. Record available model/product metadata and explicitly mark unknown values.","Exercise representative successful, absent, failed and unavailable examples; every state has a definition and cannot be mistaken for zero.",Observed schema ambiguity; product-design recommendation,lighthouse,"13:754, 13:757, 13:921","exact prompts, model parameters, [UNCOLLECTED], [NOT TRACKED]"
D15,P3,Figma concept,The sample preview is named interactive without demonstrated interaction,"Homepage section 13:254 is titled “The Interactive Brief,” but the inspected design presents static sample states and navigation to a report. It does not demonstrate a working evidence drilldown.",The label raises expectations the current prototype does not establish.,"Call it “Sample report preview” until specific interactions are designed and verified, or implement a meaningful drilldown with retained evidence.",The label accurately describes what a visitor can do in the demonstrated prototype.,Observed naming mismatch; editorial recommendation,prototype,13:254,
